prot_id	location	type	transcript_length	cds_length	pseudogene	description	go	comments	Is_Reversed	chromosome	line_location	mol_weight	iso_point
Tb927.10.16040	3,950,281 - 3,952,163 (+)	protein coding	1883	1866	0	oxidoreductase-protein, putative	GO:0055114|Biological Process|oxidation-reduction process|Interpro|IEA|,GO:0016491|Molecular Function|oxidoreductase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:3950281-3952163	68130	6.16
Tb927.10.16050	3,952,329 - 3,953,167 (+)	protein coding	839	540	0	hypothetical protein, conserved			0	Tb927_10_v5.1	Tb927_10_v5.1:3952329-3953167	20001	8.29
Tb927.10.16060	3,953,300 - 3,953,927 (+)	protein coding	628	348	0	hypothetical protein, conserved			0	Tb927_10_v5.1	Tb927_10_v5.1:3953300-3953927	13498	6.5
Tb927.10.16070	3,954,028 - 3,954,807 (+)	protein coding	780	756	0	eukaryotic translation initiation factor 4E, putative	GO:0006413|Biological Process|translational initiation|GeneDB|ISA|,GO:0006413|Biological Process|translational initiation|Interpro|IEA|,GO:0005737|Cellular Component|cytoplasm|GeneDB|ISM|,GO:0005737|Cellular Component|cytoplasm|Interpro|IEA|,GO:0000339|Molecular Function|RNA cap binding|GeneDB|IDA|,GO:0003723|Molecular Function|RNA binding|GeneDB|ISA|,GO:0003723|Molecular Function|RNA binding|Interpro|IEA|,GO:0003743|Molecular Function|translation initiation factor activity|GeneDB|ISA|,GO:0003743|Molecular Function|translation initiation factor activity|Interpro|IEA	eIF4E2 homologue 15388875,15694484,17041189,19321500 1 Yes  Osvaldo de Melo Neto, Fundacao Oswaldo Cruz 2010-10-13 16:25:14 | eIF4E2  1 Yes  Christine Clayton, ZMBH 2010-02-22 07:34:28 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3954028-3954807	28300	7.83
Tb927.10.16080	3,955,341 - 3,956,311 (+)	protein coding	971	378	0	hypothetical protein, conserved	GO:0005739|Cellular Component|mitochondrion|GeneDB|RCA	Targeted by RNAi in PCF T. brucei 19309510 2 Pending  Tansy Hammarton, University of Glasgow 2009-05-09 23:00:32 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3955341-3956311	13063	10.9
Tb927.10.16090	3,956,556 - 3,958,967 (+)	protein coding	2412	2412	0	hypothetical protein, conserved	GO:0005739|Cellular Component|mitochondrion|GeneDB|RCA	Mitochondrial SSU ribosomal protein, putative 18364347 1 Pending  Robert Brown, Northwestern University 2012-02-13 16:39:18 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3956556-3958967	89564	7.9
Tb927.10.1610	437,585 - 438,597 (-)	protein coding	1013	444	0	hypothetical protein, conserved			1	Tb927_10_v5.1	Tb927_10_v5.1:437585-438597	16359	8.52
Tb927.10.16100	3,959,358 - 3,962,909 (+)	protein coding	3552	1278	0	FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative	GO:0006457|Biological Process|protein folding|Interpro|IEA|,GO:0031514|Cellular Component|motile cilium|GeneDB|IDA|,GO:0003755|Molecular Function|peptidyl-prolyl cis-trans isomerase activity|GeneDB|ISS|,GO:0005515|Molecular Function|protein binding|Interpro|IEA|,GO:0031072|Molecular Function|heat shock protein binding|GeneDB|ISS	ZC3H11 regulation 10.1371/journal.ppat.1003286 11 Pending  Christine Clayton, ZMBH 2015-04-27 17:46:42 | putative FKBP52 homologue  1 Yes  Dorothea Droll, Universität Heidelberg 2011-12-21 07:30:16 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3959358-3962909	47605	5.83
Tb927.10.16110	3,963,044 - 3,964,776 (+)	protein coding	1733	1161	0	hypothetical protein, conserved	GO:0060285|Biological Process|ciliary cell motility|GeneDB|IMP|,GO:0005515|Molecular Function|protein binding|Interpro|IEA	TbCMF1 17227795 2 Pending  Jason Melehani, Univeristy of California, Los Angeles 2009-04-22 04:09:37 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3963044-3964776	42991	7.13
Tb927.10.16120	3,964,899 - 3,966,910 (+)	protein coding	2012	1344	0	inosine-5'-monophosphate dehydrogenase	GO:0009152|Biological Process|purine ribonucleotide biosynthetic process|GeneDB|TAS|,GO:0055114|Biological Process|oxidation-reduction process|Interpro|IEA|,GO:0020015|Cellular Component|glycosome|GeneDB|IDA|,GO:0020022|Cellular Component|acidocalcisome|GeneDB|IDA|,GO:0003824|Molecular Function|catalytic activity|Interpro|IEA|,GO:0003938|Molecular Function|IMP dehydrogenase activity|GeneDB|IDA|,GO:0003938|Molecular Function|IMP dehydrogenase activity|Interpro|IEA|,GO:0005515|Molecular Function|protein binding|Interpro|IEA	Glycosomal localisation, high confidence PMID:,24792668 115 Pending  Michael Urbaniak, Lancaster University 2015-04-27 16:05:15 | homologous to IMPDH and 66% different at the protein level 18242729,7159467 2 Pending  Fred Opperdoes, de Duve institute, Brussels, Belgium 2014-09-24 13:57:08 | IMPDH1 and IMPDH2 which may be a GMP reductase 18242729,23369253 2 Pending  Fred Opperdoes, de Duve institute, Brussels, Belgium 2014-09-24 13:49:43 | IMPDH1 and IMPDH2 which may be a GMP reductase 18242729,23369253 2 Pending  Fred Opperdoes, de Duve institute, Brussels, Belgium 2014-09-24 13:49:42 | Enzymes of purine salvage  19 Pending  Fred Opperdoes, de Duve institute, Brussels, Belgium 2014-09-22 05:41:45 | N-terminal extension possible 20700444,19105172 14 Yes  Torsten Ochsenreiter, Institute of Cell Biology, University of Bern, Switzerland 2010-09-15 19:41:56 | Alternative ATG predictions Class 3 (139 genes). A predominant upstream ATG is used.  162 Yes  George Cross, The Rockefeller University 2010-03-08 13:49:00 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3964899-3966910	48482	8.98
Tb927.10.16130	3,967,616 - 3,968,668 (+)	protein coding	1053	150	0	hypothetical protein, unlikely			0	Tb927_10_v5.1	Tb927_10_v5.1:3967616-3968668	5399	12.34
Tb927.10.16140	3,968,864 - 3,969,664 (+)	protein coding	801	801	0	Adenylate/guanylate cyclase, putative		Targeted by RNAi in PCF T. brucei 19309510 2 Pending  Tansy Hammarton, University of Glasgow 2009-05-09 22:44:11 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3968864-3969664	28189	8.41
Tb927.10.16150	3,970,001 - 3,972,019 (+)	protein coding	2019	1734	0	ATP-dependent zinc metallopeptidase, putative	GO:0006508|Biological Process|proteolysis|GeneDB|ISM|,GO:0006508|Biological Process|proteolysis|Interpro|IEA|,GO:0005739|Cellular Component|mitochondrion|GeneDB|RCA|,GO:0020022|Cellular Component|acidocalcisome|GeneDB|IDA|,GO:0000166|Molecular Function|nucleotide binding|Interpro|IEA|,GO:0004222|Molecular Function|metalloendopeptidase activity|Interpro|IEA|,GO:0005524|Molecular Function|ATP binding|Interpro|IEA|,GO:0017111|Molecular Function|nucleoside-triphosphatase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:3970001-3972019	62780	7.98
Tb927.10.16160	3,972,165 - 3,973,108 (+)	protein coding	944	903	0	protein kinase, putative	GO:0006468|Biological Process|protein phosphorylation|GeneDB|ISM|,GO:0006468|Biological Process|protein phosphorylation|Interpro|IEA|,GO:0016021|Cellular Component|integral to membrane|GeneDB|ISM|,GO:0004672|Molecular Function|protein kinase activity|Interpro|IEA|,GO:0004713|Molecular Function|protein tyrosine kinase activity|GeneDB|ISM|,GO:0005524|Molecular Function|ATP binding|GeneDB|ISM|,GO:0005524|Molecular Function|ATP binding|Interpro|IEA|,GO:0016772|Molecular Function|transferase activity  transferring phosphorus-containing groups|Interpro|IEA	Internal splice site only 20700444 698 Pending  Torsten Ochsenreiter, Institute of Cell Biology, University of Bern, Switzerland 2010-09-15 21:53:14 | Alternative ATG predictions Class 1 (289 genes). A predominant gene-internal ATG is used.  122 Pending  George Cross, The Rockefeller University 2010-03-09 15:23:45 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3972165-3973108	33780	5.92
Tb927.10.16170	3,973,230 - 3,974,155 (+)	protein coding	926	924	0	potassium voltage-gated channel, putative	GO:0006813|Biological Process|potassium ion transport|GeneDB|ISM|,GO:0051260|Biological Process|protein homooligomerization|Interpro|IEA|,GO:0005739|Cellular Component|mitochondrion|GeneDB|ISM|,GO:0008076|Cellular Component|voltage-gated potassium channel complex|GeneDB|ISM|,GO:0016020|Cellular Component|membrane|GeneDB|ISM|,GO:0005249|Molecular Function|voltage-gated potassium channel activity|GeneDB|ISM|,GO:0015272|Molecular Function|ATP-activated inward rectifier potassium channel activity|GeneDB|ISO	RNAi  1 Yes  Veronica Jimenez, California State University Fullerton 2010-09-14 19:56:54 | Potassium channel  1 Yes  Veronica Jimenez, California State University Fullerton 2010-09-14 19:55:00 | Expression profile  1 Yes  Veronica Jimenez, California State University Fullerton 2010-09-14 19:52:20 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3973230-3974155	34607	6.74
Tb927.10.16180	3,975,308 - 3,976,478 (+)	protein coding	1171	831	0	hypothetical protein, conserved			0	Tb927_10_v5.1	Tb927_10_v5.1:3975308-3976478	30092	5.4
Tb927.10.16190	3,977,566 - 3,981,969 (+)	protein coding	4404	3765	0	procyclic-enriched flagellar receptor adenylate cyclase 2 (ACP2)	GO:0009190|Biological Process|cyclic nucleotide biosynthetic process|Interpro|IEA|,GO:0035556|Biological Process|intracellular signal transduction|GeneDB|ISM|,GO:0035556|Biological Process|intracellular signal transduction|Interpro|IEA|,GO:0005929|Cellular Component|cilium|GeneDB|IDA|,GO:0016021|Cellular Component|integral to membrane|GeneDB|ISM|,GO:0004016|Molecular Function|adenylate cyclase activity|GeneDB|IGI|,GO:0004016|Molecular Function|adenylate cyclase activity|GeneDB|ISM|,GO:0016849|Molecular Function|phosphorus-oxygen lyase activity|Interpro|IEA|,GO:0042803|Molecular Function|protein homodimerization activity|GeneDB|IDA	Adenylate cyclase (ESAG4 / GRESAG4) 2209793,22700656,1545803 73 In Progress  Fred Opperdoes, de Duve institute, Brussels, Belgium 2014-09-18 05:20:16 | flagellar receptor adenylate cyclase http://www.ncbi.nlm.nih.gov/pubmed/24879126 1 Yes  Edwin Saada, UCLA 2014-09-16 14:58:06 | Expression in early and late procyclic forms 24879126 1 Yes  Isabel Roditi, University of Bern 2015-05-21 07:16:41 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:3977566-3981969	137904	4.94
Tb927.10.1620	438,731 - 442,170 (-)	protein coding	3440	1668	0	phosphoserine/threonine/tyrosine-binding protein, putative	GO:0006470|Biological Process|protein dephosphorylation|GeneDB|ISM|,GO:0006470|Biological Process|protein dephosphorylation|Interpro|IEA|,GO:0016311|Biological Process|dephosphorylation|Interpro|IEA|,GO:0008138|Molecular Function|protein tyrosine/serine/threonine phosphatase activity|GeneDB|ISM|,GO:0008138|Molecular Function|protein tyrosine/serine/threonine phosphatase activity|Interpro|IEA|,GO:0016791|Molecular Function|phosphatase activity|Interpro|IEA		1	Tb927_10_v5.1	Tb927_10_v5.1:438731-442170	59945	10.41
Tb927.10.16200	3,988,690 - 3,991,758 (+)	protein coding	3069	3069	0	Endonuclease-reverse transcriptase/Reverse transcriptase (RNA-dependent DNA polymerase), putative	GO:0006278|Biological Process|RNA-dependent DNA replication|Interpro|IEA|,GO:0003723|Molecular Function|RNA binding|Interpro|IEA|,GO:0003964|Molecular Function|RNA-directed DNA polymerase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:3988690-3991758	115183	9.78
Tb927.10.16210	3,992,532 - 3,993,443 (+)	protein coding	912	912	0	hypothetical protein, conserved	GO:0005622|Cellular Component|intracellular|Interpro|IEA|,GO:0008270|Molecular Function|zinc ion binding|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:3992532-3993443	33102	9.89
Tb927.10.16220	4,004,721 - 4,006,283 (-)	protein coding	1563	1563	0	Variant Surface Glycoprotein, putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tb927_10_v5.1	Tb927_10_v5.1:4004721-4006283	54654	8.04
Tb927.10.16230	4,008,140 - 4,009,603 (-)	protein coding	1464	1464	0	Variant Surface Glycoprotein, putative			1	Tb927_10_v5.1	Tb927_10_v5.1:4008140-4009603	51842	8.52
Tb927.10.16240	4,011,540 - 4,012,970 (-)	protein coding	1431	1431	0	Variant Surface Glycoprotein, putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tb927_10_v5.1	Tb927_10_v5.1:4011540-4012970	50578	6.7
Tb927.10.16250	4,021,254 - 4,022,858 (-)	protein coding	1605	1605	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tb927_10_v5.1	Tb927_10_v5.1:4021254-4022858	57913	9.55
Tb927.10.16260	4,023,981 - 4,024,793 (-)	protein coding	813	813	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tb927_10_v5.1	Tb927_10_v5.1:4023981-4024793	28695	7.49
Tb927.10.16270	4,027,022 - 4,027,504 (+)	protein coding	483	483	0	variant surface glycoprotein, fragment			0	Tb927_10_v5.1	Tb927_10_v5.1:4027022-4027504	17635	5.4
Tb927.10.16280	4,028,125 - 4,029,765 (+)	protein coding	1641	1641	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4028125-4029765	58221	9.61
Tb927.10.16290	4,031,718 - 4,033,115 (+)	protein coding	1398	1398	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4031718-4033115	49513	10.28
Tb927.10.1630	442,344 - 444,589 (-)	protein coding	2246	1896	0	atp-binding cassette sub-family e member 1 (ABCE1)	GO:0000291|Biological Process|nuclear-transcribed mRNA catabolic process  exonucleolytic|GeneDB|IDA|,GO:0005737|Cellular Component|cytoplasm|GeneDB|TAS|,GO:0000166|Molecular Function|nucleotide binding|Interpro|IEA|,GO:0004540|Molecular Function|ribonuclease activity|GeneDB|IDA|,GO:0005524|Molecular Function|ATP binding|Interpro|IEA|,GO:0009055|Molecular Function|electron carrier activity|Interpro|IEA|,GO:0016887|Molecular Function|ATPase activity|Interpro|IEA|,GO:0017111|Molecular Function|nucleoside-triphosphatase activity|Interpro|IEA|,GO:0051536|Molecular Function|iron-sulfur cluster binding|Interpro|IEA	RL1 or ABCE1  1 Yes  Christine Clayton, ZMBH 2013-10-22 14:04:50 | 	1	Tb927_10_v5.1	Tb927_10_v5.1:442344-444589	71080	7.38
Tb927.10.16300	4,033,833 - 4,034,288 (+)	protein coding	456	456	0	variant surface glycoprotein, fragment	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:4033833-4034288	15976	6.35
Tb927.10.16310	4,043,711 - 4,045,087 (+)	protein coding	1377	1377	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:4043711-4045087	50867	8.41
Tb927.10.16320	4,046,330 - 4,047,574 (-)	protein coding	1245	1245	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tb927_10_v5.1	Tb927_10_v5.1:4046330-4047574	42854	10.47
Tb927.10.16330	4,050,208 - 4,051,604 (+)	protein coding	1397	1395	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4050208-4051604	49442	7.8
Tb927.10.16340	4,052,872 - 4,053,888 (+)	protein coding	1017	1017	1	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4052872-4053888	38717	9
Tb927.10.16350	4,054,376 - 4,055,896 (+)	protein coding	1521	1521	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4054376-4055896	54097	6.87
Tb927.10.16360	4,058,913 - 4,060,490 (+)	protein coding	1578	1578	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4058913-4060490	57107	9.04
Tb927.10.16370	4,063,192 - 4,064,628 (+)	protein coding	1437	1437	0	Variant Surface Glycoprotein, putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4063192-4064628	49984	8.28
Tb927.10.16380	4,066,581 - 4,067,975 (+)	protein coding	1395	1395	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4066581-4067975	50029	10.09
Tb927.10.16390	4,070,196 - 4,070,879 (+)	protein coding	684	684	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4070196-4070879	24483	10.54
Tb927.10.1640	444,684 - 446,212 (-)	protein coding	1529	384	0	hypothetical protein			1	Tb927_10_v5.1	Tb927_10_v5.1:444684-446212	14640	7.94
Tb927.10.16400	4,079,740 - 4,080,657 (+)	protein coding	918	918	0	variant surface glycoprotein			0	Tb927_10_v5.1	Tb927_10_v5.1:4079740-4080657	32692	9.25
Tb927.10.16410	4,083,381 - 4,084,715 (+)	protein coding	1335	1335	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:4083381-4084715	47115	9.67
Tb927.10.16420	4,087,026 - 4,087,586 (+)	protein coding	561	561	0	variant surface glycoprotein, fragment			0	Tb927_10_v5.1	Tb927_10_v5.1:4087026-4087586	19890	8.36
Tb927.10.16430	4,087,714 - 4,088,436 (+)	protein coding	723	723	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4087714-4088436	26745	12.71
Tb927.10.16440	4,093,206 - 4,094,012 (+)	protein coding	807	807	0	variant surface glycoprotein, fragment	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:4093206-4094012	28944	8.37
Tb927.10.16450	4,096,637 - 4,097,911 (+)	protein coding	1275	1275	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4096637-4097911	45361	8.61
Tb927.10.16460	4,099,978 - 4,101,423 (+)	protein coding	1446	1446	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4099978-4101423	51481	6.05
Tb927.10.16470	4,104,454 - 4,105,947 (+)	protein coding	1494	1494	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4104454-4105947	52718	6.53
Tb927.10.16480	4,108,321 - 4,109,811 (+)	protein coding	1491	1491	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4108321-4109811	52675	7.26
Tb927.10.16490	4,111,697 - 4,113,295 (+)	protein coding	1599	1599	0	variant surface glycoprotein (VSG), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:4111697-4113295	58536	8.84
Tb927.10.1650	446,333 - 446,860 (-)	protein coding	528	519	0	hypothetical protein, conserved	GO:0005509|Molecular Function|calcium ion binding|GeneDB|ISM		1	Tb927_10_v5.1	Tb927_10_v5.1:446333-446860	19506	4.99
Tb927.10.16500	4,114,619 - 4,116,157 (+)	protein coding	1539	1539	0	variant surface glycoprotein (VSG), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:4114619-4116157	55187	8.61
Tb927.10.16510	4,117,577 - 4,118,788 (+)	protein coding	1212	1212	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4117577-4118788	43589	9.14
Tb927.10.16520	4,120,367 - 4,121,614 (+)	protein coding	1248	1248	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4120367-4121614	44513	9.99
Tb927.10.16530	4,123,286 - 4,124,710 (+)	protein coding	1425	1425	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4123286-4124710	50143	6.51
Tb927.10.16540	4,134,231 - 4,135,682 (+)	protein coding	1452	1452	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4134231-4135682	53450	10.83
Tb927.10.16550	4,136,870 - 4,138,545 (+)	protein coding	1676	1674	1	variant surface glycoprotein (VSG, pseudogene), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4136870-4138545	60543	12.27
Tb927.10.16560	4,142,515 - 4,143,966 (+)	protein coding	1452	1452	0	variant surface glycoprotein (VSG), putative			0	Tb927_10_v5.1	Tb927_10_v5.1:4142515-4143966	52355	8.3
Tb927.10.1660	446,980 - 447,937 (-)	protein coding	958	888	0	hypothetical protein, conserved	GO:0005739|Cellular Component|mitochondrion|GeneDB|RCA|,GO:0020022|Cellular Component|acidocalcisome|GeneDB|IDA		1	Tb927_10_v5.1	Tb927_10_v5.1:446980-447937	33212	10.02
Tb927.10.1670	448,059 - 448,542 (-)	protein coding	484	378	0	hypothetical protein			1	Tb927_10_v5.1	Tb927_10_v5.1:448059-448542	14085	9.08
Tb927.10.1680	453,241 - 454,451 (+)	protein coding	1211	1167	0	histone deacetylase 1 (DAC1)	GO:0016575|Biological Process|histone deacetylation|GeneDB|ISA|,GO:0016575|Biological Process|histone deacetylation|Interpro|IEA|,GO:0031936|Biological Process|negative regulation of chromatin silencing|GeneDB|IMP|,GO:0005634|Cellular Component|nucleus|GeneDB|IDA|,GO:0005829|Cellular Component|cytosol|GeneDB|IDA|,GO:0004407|Molecular Function|histone deacetylase activity|GeneDB|IDA|,GO:0004407|Molecular Function|histone deacetylase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:453241-454451	43095	6.81
Tb927.10.1690	454,680 - 455,718 (+)	protein coding	1039	939	0	nucleotide binding protein, putative (NBP 1)	GO:0005829|Cellular Component|cytosol|GeneDB|EXP|,GO:0000166|Molecular Function|nucleotide binding|GeneDB|ISA	Thiomodification of cytosolic tRNAs in T. brucei 19875444 1 Yes  Ellen Bruske, University of Bern, Switzerland 2010-05-26 04:42:26 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:454680-455718	33285	5.76
Tb927.10.170	70,802 - 72,225 (+)	protein coding	1424	1284	0	pseudouridine synthase, Cbf5p	GO:0000154|Biological Process|rRNA modification|GeneDB|IMP|,GO:0001522|Biological Process|pseudouridine synthesis|Interpro|IEA|,GO:0006396|Biological Process|RNA processing|Interpro|IEA|,GO:0006400|Biological Process|tRNA modification|GeneDB|ISM|,GO:0009451|Biological Process|RNA modification|Interpro|IEA|,GO:0005634|Cellular Component|nucleus|GeneDB|ISA|,GO:0020022|Cellular Component|acidocalcisome|GeneDB|IDA|,GO:0003723|Molecular Function|RNA binding|GeneDB|ISM|,GO:0003723|Molecular Function|RNA binding|Interpro|IEA|,GO:0004730|Molecular Function|pseudouridylate synthase activity|GeneDB|ISM|,GO:0009982|Molecular Function|pseudouridine synthase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:70802-72225	48286	9.11
Tb927.10.1700	455,734 - 457,675 (+)	protein coding	1942	1596	0	hypothetical protein, conserved		Internal splice site only 20700444 698 In Progress  Torsten Ochsenreiter, Institute of Cell Biology, University of Bern, Switzerland 2010-09-15 21:53:14 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:455734-457675	58838	9.63
Tb927.10.1710	457,788 - 459,399 (+)	protein coding	1612	1578	0	DNA polymerase eta, putative	GO:0006281|Biological Process|DNA repair|Interpro|IEA|,GO:0003684|Molecular Function|damaged DNA binding|GeneDB|ISM|,GO:0003684|Molecular Function|damaged DNA binding|Interpro|IEA|,GO:0003887|Molecular Function|DNA-directed DNA polymerase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:457788-459399	58325	6.74
Tb927.10.1720	459,557 - 461,364 (+)	protein coding	1808	1791	0	ATP-dependent DEAD/H RNA helicase, putative	GO:0006139|Biological Process|nucleobase-containing compound metabolic process|GeneDB|ISM|,GO:0003676|Molecular Function|nucleic acid binding|Interpro|IEA|,GO:0004386|Molecular Function|helicase activity|Interpro|IEA|,GO:0005524|Molecular Function|ATP binding|GeneDB|ISM|,GO:0005524|Molecular Function|ATP binding|Interpro|IEA|,GO:0008026|Molecular Function|ATP-dependent helicase activity|GeneDB|ISM|,GO:0008026|Molecular Function|ATP-dependent helicase activity|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:459557-461364	66420	9.93
Tb927.10.1730	461,541 - 462,870 (+)	protein coding	1330	1074	0	hypothetical protein, conserved		TbPAMC3 25225332 1 Pending  Lucie Kafkova, SUNY Buffalo School of Medicine 2015-04-28 12:59:45 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:461541-462870	39266	5.3
Tb927.10.1740	462,978 - 464,366 (+)	protein coding	1389	1149	0	hypothetical protein, conserved			0	Tb927_10_v5.1	Tb927_10_v5.1:462978-464366	42370	9.6
Tb927.10.1750	464,479 - 465,802 (+)	protein coding	1324	729	0	hypothetical protein, conserved	GO:0005739|Cellular Component|mitochondrion|GeneDB|RCA	Impacts expression site silencing 22941664 1 Pending  Sam Alsford, London School of Hygiene & Tropical Medicine 2015-04-29 09:34:30 | Internal splice site only 20700444 698 Pending  Torsten Ochsenreiter, Institute of Cell Biology, University of Bern, Switzerland 2010-09-15 21:53:14 | Alternative ATG predictions Class 1 (289 genes). A predominant gene-internal ATG is used.  122 Pending  George Cross, The Rockefeller University 2010-03-09 15:23:45 | 	0	Tb927_10_v5.1	Tb927_10_v5.1:464479-465802	26818	10.14
Tb927.10.1760	465,937 - 466,545 (+)	protein coding	609	495	0	hypothetical protein	GO:0009279|Cellular Component|cell outer membrane|Interpro|IEA		0	Tb927_10_v5.1	Tb927_10_v5.1:465937-466545	17616	9.54
Tb927.10.1770	467,113 - 467,997 (-)	protein coding	885	795	0	hypothetical protein			1	Tb927_10_v5.1	Tb927_10_v5.1:467113-467997	28189	5.26
Tb927.10.1780	468,247 - 469,591 (-)	protein coding	1345	222	0	hypothetical protein			1	Tb927_10_v5.1	Tb927_10_v5.1:468247-469591	8394	11.13
Tb927.10.1790	474,247 - 474,624 (-)	protein coding	378	378	0	hypothetical protein			1	Tb927_10_v5.1	Tb927_10_v5.1:474247-474624	13905	10.04
