Gene ID	Product Description	Gene Type	Input ID	# TM Domains	EC numbers	EC numbers from OrthoMCL	
Tb927.1.190	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.190	0	N/A	N/A	
Tb927.1.1910	MORN repeat-containing protein	protein coding gene	Tb927.1.1910	0	N/A	N/A	
Tb927.1.1920	conserved protein, unknown function	protein coding gene	Tb927.1.1920	0	N/A	N/A	
Tb927.1.1930	phosphatidylinositol 3-kinase, putative	protein coding gene	Tb927.1.1930	0	2.7.1.137 (Phosphatidylinositol 3-kinase)	2.7.1.137 (Phosphatidylinositol 3-kinase);2.7.11.1 (Non-specific serine/threonine protein kinase)	
Tb927.1.1960	chaperone protein DnaJ, putative	protein coding gene	Tb927.1.1960	0	N/A	N/A	
Tb927.1.1980	protein transport protein YIF1, putative	protein coding gene	Tb927.1.1980	5	N/A	N/A	
Tb927.1.1990	Pre-mRNA-splicing factor 38, putative	protein coding gene	Tb927.1.1990	0	N/A	N/A	
Tb927.1.20	expression site-associated gene 3 (ESAG3), pseudogene	pseudogene	Tb927.1.20	0	N/A	N/A	
Tb927.1.2000	hypothetical protein	protein coding gene	Tb927.1.2000	0	N/A	N/A	
Tb927.1.2040	expression site-associated gene 2 (ESAG2) protein, putative	protein coding gene	Tb927.1.2040	0	N/A	N/A	
Tb927.1.2060	expression site-associated gene 11 (ESAG11), fragment	pseudogene	Tb927.1.2060	0	N/A	N/A	
Tb927.1.2070	expression site-associated gene 11 (ESAG11), fragment	pseudogene	Tb927.1.2070	0	N/A	N/A	
Tb927.1.2100	Calpain-like protein 1.1	protein coding gene	Tb927.1.2100	0	3.4.22.17 (Transferred entry: 3.4.22.52 and 3.4.22.53)	3.4.22.17 (Transferred entry: 3.4.22.52 and 3.4.22.53)	
Tb927.1.2110	Calpain-like protein 1.2	protein coding gene	Tb927.1.2110	0	3.4.22.17 (Transferred entry: 3.4.22.52 and 3.4.22.53)	3.4.22.17 (Transferred entry: 3.4.22.52 and 3.4.22.53)	
Tb927.1.2120	Calpain-like protein CALP1.3	protein coding gene	Tb927.1.2120	0	N/A	3.4.22.- (Cysteine endopeptidases.);3.4.22.17 (Transferred entry: 3.4.22.52 and 3.4.22.53)	
Tb927.1.2150	Small kinetoplastid calpain-related protein 1-4	protein coding gene	Tb927.1.2150	0	N/A	N/A	
Tb927.1.2160	Small kinetoplastid calpain-related protein 1-5	protein coding gene	Tb927.1.2160	0	N/A	N/A	
Tb927.1.2190	Raptor N-terminal CASPase like domain containing protein, putative	protein coding gene	Tb927.1.2190	0	N/A	N/A	
Tb927.1.220	retrotransposon hot spot protein 1 (RHS1), putative	protein coding gene	Tb927.1.220	0	N/A	N/A	
Tb927.1.2200	zinc finger protein family member, putative	protein coding gene	Tb927.1.2200	0	N/A	N/A	
Tb927.1.2210	nucleosome assembly protein (NAP), putative	protein coding gene	Tb927.1.2210	0	N/A	N/A	
Tb927.1.2230	small myristoylated protein 1-1	protein coding gene	Tb927.1.2230	0	N/A	N/A	
Tb927.1.2260	small myristoylated protein 1-2	protein coding gene	Tb927.1.2260	0	N/A	N/A	
Tb927.1.2310	hypothetical protein	protein coding gene	Tb927.1.2310	2	N/A	N/A	
Tb927.1.2320	Cardiolipin-dependent protein 35kDa	protein coding gene	Tb927.1.2320	0	N/A	N/A	
Tb927.1.2330	beta tubulin	protein coding gene	Tb927.1.2330	0	N/A	N/A	
Tb927.1.2340	alpha tubulin	protein coding gene	Tb927.1.2340	0	N/A	N/A	
Tb927.1.2350	beta tubulin	protein coding gene	Tb927.1.2350	0	N/A	N/A	
Tb927.1.2360	alpha tubulin	protein coding gene	Tb927.1.2360	0	N/A	N/A	
Tb927.1.2370	beta tubulin	protein coding gene	Tb927.1.2370	0	N/A	N/A	
Tb927.1.2380	alpha tubulin	protein coding gene	Tb927.1.2380	0	N/A	N/A	
Tb927.1.2390	beta tubulin	protein coding gene	Tb927.1.2390	0	N/A	N/A	
Tb927.1.240	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.240	0	N/A	N/A	
Tb927.1.2400	alpha tubulin	protein coding gene	Tb927.1.2400	0	N/A	N/A	
Tb927.1.2410	beta tubulin, pseudogene	pseudogene	Tb927.1.2410	0	N/A	N/A	
Tb927.1.2420	hypothetical protein	protein coding gene	Tb927.1.2420	0	N/A	N/A	
Tb927.1.2430	histone H3, putative	protein coding gene	Tb927.1.2430	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2450	histone H3, putative	protein coding gene	Tb927.1.2450	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2470	histone H3, putative	protein coding gene	Tb927.1.2470	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2490	histone H3, putative	protein coding gene	Tb927.1.2490	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2510	histone H3, putative	protein coding gene	Tb927.1.2510	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2530	histone H3, putative	protein coding gene	Tb927.1.2530	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2550	histone H3, putative	protein coding gene	Tb927.1.2550	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.1.2570	coatomer beta subunit	protein coding gene	Tb927.1.2570	0	N/A	N/A	
Tb927.1.2580	exosome-associated protein 1	protein coding gene	Tb927.1.2580	0	N/A	N/A	
Tb927.1.2600	pumilio/PUF RNA binding protein 9	protein coding gene	Tb927.1.2600	0	N/A	N/A	
Tb927.1.2640	hypothetical protein, conserved	protein coding gene	Tb927.1.2640	0	N/A	N/A	
Tb927.1.2670	paralyzed flagella 16	protein coding gene	Tb927.1.2670	0	N/A	N/A	
Tb927.1.270	hypothetical protein	protein coding gene	Tb927.1.270	0	N/A	N/A	
Tb927.1.2700	hypothetical protein, conserved	protein coding gene	Tb927.1.2700	0	N/A	N/A	
Tb927.1.2710	hypothetical protein, conserved	protein coding gene	Tb927.1.2710	0	N/A	N/A	
Tb927.1.2730	conserved protein, unknown function	protein coding gene	Tb927.1.2730	0	N/A	N/A	
Tb927.1.2740	lipase-like protein, putative	protein coding gene	Tb927.1.2740	1	3.1.1.3 (Triacylglycerol lipase)	3.1.1.3 (Triacylglycerol lipase)	
Tb927.1.275	expression site-associated gene 4 (ESAG4), pseudogene	pseudogene	Tb927.1.275	0	N/A	N/A	
Tb927.1.2750	hypothetical protein, conserved	protein coding gene	Tb927.1.2750	0	N/A	N/A	
Tb927.1.2760	hypothetical protein	protein coding gene	Tb927.1.2760	0	N/A	N/A	
Tb927.1.2770	hypothetical protein, conserved	protein coding gene	Tb927.1.2770	0	N/A	N/A	
Tb927.1.2780	hypothetical protein	protein coding gene	Tb927.1.2780	0	N/A	N/A	
Tb927.1.280	Protein of unknown function (DUF1181), putative	protein coding gene	Tb927.1.280	0	N/A	N/A	
Tb927.1.2820	pteridine transporter, putative	protein coding gene	Tb927.1.2820	13	N/A	N/A	
Tb927.1.2850	pteridine transporter, putative	protein coding gene	Tb927.1.2850	12	N/A	N/A	
Tb927.1.2880	pteridine transporter, putative	protein coding gene	Tb927.1.2880	13	N/A	N/A	
Tb927.1.290	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.1.290	0	N/A	N/A	
Tb927.1.2970	hypothetical protein, conserved	protein coding gene	Tb927.1.2970	0	N/A	N/A	
Tb927.1.2980	hypothetical protein, conserved	protein coding gene	Tb927.1.2980	0	N/A	N/A	
Tb927.1.2985	ER protein Pkr1, putative	protein coding gene	Tb927.1.2985	2	N/A	N/A	
Tb927.1.2990	kinetoplast ribosomal PPR-repeat containing protein 2	protein coding gene	Tb927.1.2990	0	N/A	N/A	
Tb927.1.30	hypothetical protein	protein coding gene	Tb927.1.30	0	N/A	N/A	
Tb927.1.300	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.300	0	N/A	N/A	
Tb927.1.3000	amidohydrolase, putative	protein coding gene	Tb927.1.3000	0	3.5.1.14 (N-acyl-aliphatic-L-amino acid amidohydrolase);3.5.1.16 (Acetylornithine deacetylase)	3.4.11.- (Aminopeptidases.);3.4.17.- (Metallocarboxypeptidases.);3.5.1.127 (Jasmonoyl-L-amino acid hydrolase);3.5.1.14 (N-acyl-aliphatic-L-amino acid amidohydrolase);3.5.1.16 (Acetylornithine deacetylase);3.5.1.32 (Hippurate hydrolase);3.5.1.47 (N-acetyldiaminopimelate deacetylase)	
Tb927.1.3010	mRNA processing protein, putative	protein coding gene	Tb927.1.3010	0	N/A	N/A	
Tb927.1.3030	KREL2	protein coding gene	Tb927.1.3030	0	6.5.1.3 (RNA ligase (ATP))	6.5.1.3 (RNA ligase (ATP))	
Tb927.1.3040	hypothetical protein, conserved	protein coding gene	Tb927.1.3040	0	N/A	N/A	
Tb927.1.3050	tRNA (Uracil-5-)-methyltransferase, putative	protein coding gene	Tb927.1.3050	0	N/A	2.1.1.- (Methyltransferases.);2.1.1.35 (tRNA (uracil(54)-C(5))-methyltransferase)	
Tb927.1.3070	hypothetical protein, conserved	protein coding gene	Tb927.1.3070	0	N/A	N/A	
Tb927.1.3110	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	protein coding gene	Tb927.1.3110	0	N/A	N/A	
Tb927.1.3120	Peptidase C50 separase, putative	protein coding gene	Tb927.1.3120	0	3.4.22.49 (Separase)	3.4.22.49 (Separase)	
Tb927.1.3130	AGC/RSK family serine/threonine kinase, putative	protein coding gene	Tb927.1.3130	0	2.7.11.1 (Non-specific serine/threonine protein kinase)	1.11.1.5 (Cytochrome-c peroxidase);2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.18 ([Myosin light-chain] kinase);2.7.11.25 (Mitogen-activated protein kinase kinase kinase);2.7.12.- (D	
Tb927.1.3150	hypothetical protein, conserved	protein coding gene	Tb927.1.3150	4	N/A	N/A	
Tb927.1.3170	CHORD, putative	protein coding gene	Tb927.1.3170	0	N/A	N/A	
Tb927.1.3180	40S ribosomal protein S11, putative	protein coding gene	Tb927.1.3180	0	N/A	N/A	
Tb927.1.320	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.320	0	N/A	N/A	
Tb927.1.3200	Suppressor of G2 allele of SKP1, putative	protein coding gene	Tb927.1.3200	0	N/A	N/A	
Tb927.1.3220	TBC1 domain family member 20/GTPase, putative	protein coding gene	Tb927.1.3220	1	N/A	N/A	
Tb927.1.3230	cell division cycle protein, putative	protein coding gene	Tb927.1.3230	0	N/A	N/A	
Tb927.1.3250	Domain of unknown function (DUF4456), putative	protein coding gene	Tb927.1.3250	0	N/A	N/A	
Tb927.1.3260	hypothetical protein, conserved	protein coding gene	Tb927.1.3260	0	N/A	N/A	
Tb927.1.3270	hypothetical protein, conserved	protein coding gene	Tb927.1.3270	0	N/A	N/A	
Tb927.1.3280	septum formation protein MAF homologue, putative	protein coding gene	Tb927.1.3280	0	N/A	3.6.1.9 (Nucleotide diphosphatase)	
Tb927.1.3290	hypothetical protein, conserved	protein coding gene	Tb927.1.3290	0	N/A	N/A	
Tb927.1.330	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.330	0	N/A	N/A	
Tb927.1.3300	Myotubularin-related protein, putative	protein coding gene	Tb927.1.3300	0	N/A	3.1.3.16 (Protein-serine/threonine phosphatase);3.1.3.41 (4-nitrophenylphosphatase);3.1.3.48 (Protein-tyrosine-phosphatase);3.1.3.64 (Phosphatidylinositol-3-phosphatase)	
Tb927.1.3310	hypothetical protein, conserved	protein coding gene	Tb927.1.3310	0	N/A	N/A	
Tb927.1.3320	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.1.3320	0	N/A	N/A	
Tb927.1.3350	hypothetical protein	protein coding gene	Tb927.1.3350	0	N/A	N/A	
Tb927.1.3360	hypothetical protein	protein coding gene	Tb927.1.3360	0	N/A	N/A	
Tb927.1.3390	Eukaryotic protein of unknown function (DUF866), putative	protein coding gene	Tb927.1.3390	0	N/A	N/A	
Tb927.1.3400	hypothetical protein, conserved	protein coding gene	Tb927.1.3400	0	N/A	N/A	
Tb927.1.3410	hypothetical protein, conserved	protein coding gene	Tb927.1.3410	2	N/A	N/A	
Tb927.1.3450	hypothetical protein, conserved	protein coding gene	Tb927.1.3450	0	N/A	N/A	
Tb927.1.350	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.350	0	N/A	N/A	
Tb927.1.3550	hypothetical protein	protein coding gene	Tb927.1.3550	0	N/A	N/A	
Tb927.1.3560	Centrosomal protein of 164 kDa, putative	protein coding gene	Tb927.1.3560	0	N/A	N/A	
Tb927.1.3670	expression site-associated gene 8 (ESAG8) protein, putative	protein coding gene	Tb927.1.3670	0	N/A	N/A	
Tb927.1.370	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.1.370	0	N/A	N/A	
Tb927.1.3750	hypothetical protein, conserved	protein coding gene	Tb927.1.3750	0	N/A	N/A	
Tb927.1.3760	hypothetical protein, conserved	protein coding gene	Tb927.1.3760	0	N/A	N/A	
Tb927.1.380	Protein of unknown function (DUF1181), putative	protein coding gene	Tb927.1.380	0	N/A	N/A	
Tb927.1.3800	Present in the outer mitochondrial membrane proteome 18	protein coding gene	Tb927.1.3800	0	N/A	N/A	
Tb927.1.3810	hypothetical protein, conserved	protein coding gene	Tb927.1.3810	0	N/A	N/A	
Tb927.1.3820	ATP synthase subunit, putative	protein coding gene	Tb927.1.3820	0	3.6.1.34 (Transferred entry: 7.1.2.2)	3.6.1.34 (Transferred entry: 7.1.2.2);3.6.3.14 (Transferred entry: 7.1.2.2)	
Tb927.1.3830	glucose-6-phosphate isomerase, glycosomal	protein coding gene	Tb927.1.3830	0	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase);6.1.1.- (Ligases forming aminoacyl-tRNA and related compounds.)	
Tb927.1.3840	hypothetical protein, conserved	protein coding gene	Tb927.1.3840	0	N/A	N/A	
Tb927.1.3850	Sec61beta family, putative	protein coding gene	Tb927.1.3850	1	N/A	N/A	
Tb927.1.3860	hypothetical protein, conserved	protein coding gene	Tb927.1.3860	0	N/A	N/A	
Tb927.1.3880	Fusaric acid resistance protein-like, putative	protein coding gene	Tb927.1.3880	8	N/A	N/A	
Tb927.1.3890	hypothetical protein	protein coding gene	Tb927.1.3890	0	N/A	N/A	
Tb927.1.3910	Anaphase-promoting complex subunit CDC23	protein coding gene	Tb927.1.3910	0	N/A	N/A	
Tb927.1.3940	hypothetical protein, conserved	protein coding gene	Tb927.1.3940	0	N/A	N/A	
Tb927.1.3950	alanine aminotransferase	protein coding gene	Tb927.1.3950	0	2.6.1.2 (Alanine transaminase)	2.6.1.1 (Aspartate transaminase);2.6.1.2 (Alanine transaminase);2.6.1.21 (D-amino-acid transaminase);2.6.1.4 (Glycine transaminase);2.6.1.44 (Alanine--glyoxylate transaminase);2.6.1.5 (Tyrosine transaminase)	
Tb927.1.40	hypothetical protein	protein coding gene	Tb927.1.40	0	N/A	N/A	
Tb927.1.400	hypothetical protein, conserved	protein coding gene	Tb927.1.400	0	N/A	N/A	
Tb927.1.4010	primase 2	protein coding gene	Tb927.1.4010	0	3.6.-.- (Acting on acid anhydrides.)	3.6.-.- (Acting on acid anhydrides.)	
Tb927.1.4020	hypothetical protein	protein coding gene	Tb927.1.4020	5	N/A	N/A	
Tb927.1.4040	hypothetical protein, conserved	protein coding gene	Tb927.1.4040	0	N/A	N/A	
Tb927.1.4050	ser/thr protein phosphatase, putative	protein coding gene	Tb927.1.4050	0	N/A	N/A	
Tb927.1.410	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.410	0	N/A	N/A	
Tb927.1.4100	cytochrome oxidase subunit IV	protein coding gene	Tb927.1.4100	0	N/A	1.9.3.1 (Transferred entry: 7.1.1.9)	
Tb927.1.4140	Bardet-Biedl syndrome 5 protein	protein coding gene	Tb927.1.4140	0	N/A	N/A	
Tb927.1.4160	hypothetical protein, conserved	protein coding gene	Tb927.1.4160	1	N/A	N/A	
Tb927.1.4180	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.1.4180	0	N/A	N/A	
Tb927.1.420	retrotransposon hot spot protein 5 (RHS5), putative	protein coding gene	Tb927.1.420	0	N/A	N/A	
Tb927.1.4220	Ydr279p protein family (RNase H2 complex component), putative	protein coding gene	Tb927.1.4220	0	N/A	N/A	
Tb927.1.4230	hypothetical protein, conserved	protein coding gene	Tb927.1.4230	0	N/A	N/A	
Tb927.1.4250	hypothetical protein, conserved	protein coding gene	Tb927.1.4250	0	N/A	N/A	
Tb927.1.4280	hypothetical protein, conserved	protein coding gene	Tb927.1.4280	0	N/A	N/A	
Tb927.1.430	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.430	0	N/A	N/A	
Tb927.1.4300	chaperone protein DnaJ, putative	protein coding gene	Tb927.1.4300	0	N/A	N/A	
Tb927.1.4310	Flagellum attachment zone protein 2	protein coding gene	Tb927.1.4310	0	N/A	N/A	
Tb927.1.4340	hypothetical protein, conserved	protein coding gene	Tb927.1.4340	0	N/A	N/A	
Tb927.1.4370	Putative integral membrane protein conserved region (DUF2404), putative	protein coding gene	Tb927.1.4370	1	N/A	N/A	
Tb927.1.4380	Putative integral membrane protein conserved region (DUF2404), putative	protein coding gene	Tb927.1.4380	1	N/A	N/A	
Tb927.1.4400	hypothetical protein, conserved	protein coding gene	Tb927.1.4400	0	N/A	N/A	
Tb927.1.4410	SUMO-interacting motif-containing protein	protein coding gene	Tb927.1.4410	0	N/A	N/A	
Tb927.1.4420	ABC transporter, putative	protein coding gene	Tb927.1.4420	0	N/A	N/A	
Tb927.1.4450	calcium-activated potassium channel, putative	protein coding gene	Tb927.1.4450	7	N/A	N/A	
Tb927.1.4470	hypothetical protein, conserved	protein coding gene	Tb927.1.4470	0	N/A	N/A	
Tb927.1.4480	WD repeat and HMG-box DNA-binding protein, putative	protein coding gene	Tb927.1.4480	0	N/A	N/A	
Tb927.1.4490	acetyltransferase, putative	protein coding gene	Tb927.1.4490	0	N/A	N/A	
Tb927.1.450	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.450	0	N/A	N/A	
Tb927.1.4500	SNARE associated Golgi protein, putative	protein coding gene	Tb927.1.4500	6	N/A	N/A	
Tb927.1.4520	Zinc finger, C3HC4 type (RING finger), putative	protein coding gene	Tb927.1.4520	0	N/A	N/A	
Tb927.1.4540	cyclin-like F-box protein 1A	protein coding gene	Tb927.1.4540	0	N/A	N/A	
Tb927.1.4560	cyclin-like F-box protein 1B	protein coding gene	Tb927.1.4560	0	N/A	N/A	
Tb927.1.4580	cyclin-like F-box protein 1C	protein coding gene	Tb927.1.4580	0	N/A	N/A	
Tb927.1.4600	cyclin-like F-box protein 1D	protein coding gene	Tb927.1.4600	0	N/A	N/A	
Tb927.1.4630	cyclin-like F-box protein 1E	protein coding gene	Tb927.1.4630	0	N/A	N/A	
Tb927.1.4650	cyclin-like F-box protein 2	protein coding gene	Tb927.1.4650	0	N/A	N/A	
Tb927.1.4680	Kinetochore interacting protein 6	protein coding gene	Tb927.1.4680	0	N/A	N/A	
Tb927.1.4690	Protein arginine N-methyltransferase 1 catalytic subunit	protein coding gene	Tb927.1.4690	0	2.1.1.321 (Type III protein arginine methyltransferase)	2.1.1.319 (Type I protein arginine methyltransferase);2.1.1.321 (Type III protein arginine methyltransferase)	
Tb927.1.470	Protein of unknown function (DUF1181), putative	protein coding gene	Tb927.1.470	0	N/A	N/A	
Tb927.1.4700	hypothetical protein, conserved	protein coding gene	Tb927.1.4700	0	N/A	N/A	
Tb927.1.4710	hypothetical protein, conserved	protein coding gene	Tb927.1.4710	0	N/A	N/A	
Tb927.1.4720	SET domain containing protein, putative	protein coding gene	Tb927.1.4720	0	N/A	N/A	
Tb927.1.4730	Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative	protein coding gene	Tb927.1.4730	0	N/A	N/A	
Tb927.1.4740	FAM91 N-terminus/FAM91 C-terminus, putative	protein coding gene	Tb927.1.4740	0	N/A	N/A	
Tb927.1.4760	Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative	protein coding gene	Tb927.1.4760	0	N/A	3.4.16.- (Serine-type carboxypeptidases.)	
Tb927.1.4780	Alpha/beta hydrolase domain-containing protein	protein coding gene	Tb927.1.4780	0	N/A	N/A	
Tb927.1.480	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.1.480	0	N/A	N/A	
Tb927.1.4800	hypothetical protein, conserved	protein coding gene	Tb927.1.4800	0	N/A	N/A	
Tb927.1.4810	hypothetical protein, conserved (pseudogene)	pseudogene	Tb927.1.4810	0	N/A	N/A	
Tb927.1.4830	phospholipase A1	protein coding gene	Tb927.1.4830	0	3.1.1.32 (Phospholipase A(1))	3.1.1.32 (Phospholipase A(1))	
Tb927.1.4860	expression site-associated gene 11 (ESAG11), pseudogene	pseudogene	Tb927.1.4860	0	N/A	N/A	
Tb927.1.4870	expression site-associated gene 1 (ESAG1) protein, putative	protein coding gene	Tb927.1.4870	0	N/A	N/A	
Tb927.1.4890	expression site-associated gene 2 (ESAG2) protein, putative	protein coding gene	Tb927.1.4890	0	N/A	N/A	
Tb927.1.490	hypothetical protein	protein coding gene	Tb927.1.490	0	N/A	N/A	
Tb927.1.4900	expression site-associated gene 11 (ESAG11) protein, putative	protein coding gene	Tb927.1.4900	0	N/A	N/A	
Tb927.1.4910	expression site-associated gene 1 (ESAG1) protein, putative	protein coding gene	Tb927.1.4910	0	N/A	N/A	
Tb927.1.4920	hypothetical protein	protein coding gene	Tb927.1.4920	0	N/A	N/A	
Tb927.1.4970	hypothetical protein	protein coding gene	Tb927.1.4970	0	N/A	N/A	
Tb927.1.500	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.1.500	0	N/A	N/A	
Tb927.1.5000	hypothetical protein, conserved	protein coding gene	Tb927.1.5000	0	N/A	N/A	
Tb927.1.5030	Flagellum attachment zone protein 37	protein coding gene	Tb927.1.5030	0	N/A	N/A	
Tb927.1.5060	variant surface glycoprotein (VSG)-related, putative	protein coding gene	Tb927.1.5060	0	N/A	N/A	
Tb927.1.5080	expression site-associated gene 9 (ESAG9) protein, putative	protein coding gene	Tb927.1.5080	0	N/A	N/A	
Tb927.1.5090	expression site-associated gene 1(ESAG1), pseudogene	pseudogene	Tb927.1.5090	0	N/A	N/A	
Tb927.1.5100	expression site-associated gene 2 (ESAG2) protein, putative	protein coding gene	Tb927.1.5100	0	N/A	N/A	
Tb927.1.5110	expression site-associated gene 11 (ESAG11) protein, putative	protein coding gene	Tb927.1.5110	0	N/A	N/A	
Tb927.1.5120	expression site-associated gene 1 (ESAG1) protein, putative	protein coding gene	Tb927.1.5120	0	N/A	N/A	
Tb927.1.5150	hypothetical protein	protein coding gene	Tb927.1.5150	0	N/A	N/A	
Tb927.1.5160	hypothetical protein	protein coding gene	Tb927.1.5160	0	N/A	N/A	
Tb927.1.5170	variant surface glycoprotein (VSG)-related, putative	protein coding gene	Tb927.1.5170	0	N/A	N/A	
Tb927.1.5180	hypothetical protein	protein coding gene	Tb927.1.5180	0	N/A	N/A	
Tb927.1.520	variant surface glycoprotein, fragment	pseudogene	Tb927.1.520	0	N/A	N/A	
Tb927.1.5200	expression site-associated gene 1 (ESAG1) protein, putative	protein coding gene	Tb927.1.5200	0	N/A	N/A	
Tb927.1.5220	expression site-associated gene 9 (ESAG9) protein, putative	protein coding gene	Tb927.1.5220	0	N/A	N/A	
Tb927.1.5235	expression site-associated gene 1 (ESAG1), fragment	pseudogene	Tb927.1.5235	0	N/A	N/A	
Tb927.1.5240	expression site-associated gene 1 (ESAG1) protein, putative	protein coding gene	Tb927.1.5240	0	N/A	N/A	
Tb927.1.5250	hypothetical protein	protein coding gene	Tb927.1.5250	0	N/A	N/A	
Tb927.1.5260	hypothetical protein	protein coding gene	Tb927.1.5260	2	N/A	N/A	
Tb927.1.5280	expression site-associated gene 3 (ESAG3), pseudogene	pseudogene	Tb927.1.5280	0	N/A	N/A	
Tb927.1.530	hypothetical protein, conserved	protein coding gene	Tb927.1.530	0	N/A	N/A	
Tb927.1.5300	variant surface glycoprotein (VSG), putative	protein coding gene	Tb927.1.5300	0	N/A	N/A	
Tb927.1.5320	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb927.1.5320	0	N/A	N/A	
Tb927.1.5330	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb927.1.5330	0	N/A	N/A	
Tb927.1.5340	expression site-associated gene 3 (ESAG3), pseudogene	pseudogene	Tb927.1.5340	0	N/A	N/A	
Tb927.1.540	DNA-directed RNA polymerase III, putative	protein coding gene	Tb927.1.540	0	2.7.7.6 (DNA-directed RNA polymerase)	2.7.7.6 (DNA-directed RNA polymerase)	
Tb927.1.560	WD domain, G-beta repeat, putative	protein coding gene	Tb927.1.560	0	N/A	N/A	
Tb927.1.570	Histone-lysine N-methyltransferase, H3 lysine-76 specific	protein coding gene	Tb927.1.570	0	2.1.1.43 (Transferred entry: 2.1.1.354)	2.1.1.360 ([Histone H3]-lysine(79) N-trimethyltransferase);2.1.1.43 (Transferred entry: 2.1.1.354)	
Tb927.1.580	phosphate-repressible phosphate permease, putative	protein coding gene	Tb927.1.580	10	N/A	N/A	
Tb927.1.60	RNA polymerase (pseudogene), putative	pseudogene	Tb927.1.60	0	N/A	N/A	
Tb927.1.600	phosphate-repressible phosphate permease, putative	protein coding gene	Tb927.1.600	10	N/A	N/A	
Tb927.1.610	hypothetical protein, conserved	protein coding gene	Tb927.1.610	0	N/A	N/A	
Tb927.1.630	histone chaperone ASF1A	protein coding gene	Tb927.1.630	0	N/A	N/A	
Tb927.1.640	BRCA2	protein coding gene	Tb927.1.640	0	N/A	N/A	
Tb927.1.650	conserved protein, unknown function	protein coding gene	Tb927.1.650	0	N/A	N/A	
Tb927.1.670	conserved protein, unknown function	protein coding gene	Tb927.1.670	0	N/A	N/A	
Tb927.1.690	hypothetical protein, conserved	protein coding gene	Tb927.1.690	0	N/A	N/A	
Tb927.1.70	retrotransposon hot spot protein 4 (RHS4), putative	protein coding gene	Tb927.1.70	0	N/A	N/A	
Tb927.1.700	phosphoglycerate kinase	protein coding gene	Tb927.1.700	0	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase);5.3.1.1 (Triose-phosphate isomerase)	
Tb927.1.710	phosphoglycerate kinase	protein coding gene	Tb927.1.710	0	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase);5.3.1.1 (Triose-phosphate isomerase)	
Tb927.1.720	phosphoglycerate kinase	protein coding gene	Tb927.1.720	0	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
Tb927.1.730	NADH-ubiquinone oxidoreductase complex I subunit, putative	protein coding gene	Tb927.1.730	0	N/A	N/A	
Tb927.1.740	phosphatidylinositol-4-phosphate 5-kinase related	protein coding gene	Tb927.1.740	0	N/A	N/A	
Tb927.1.750	Metal-binding domain-containing protein	protein coding gene	Tb927.1.750	0	N/A	N/A	
Tb927.1.760	wd40 repeat domain-containing protein	protein coding gene	Tb927.1.760	0	N/A	N/A	
Tb927.1.780	leucine-rich repeat-containing protein	protein coding gene	Tb927.1.780	0	N/A	N/A	
Tb927.1.790	hypothetical transmembrane protein, conserved	protein coding gene	Tb927.1.790	0	N/A	N/A	
